SIC_Section,SIC_Codes,SIC_Classification,id,ref_no,name,pointx_class,groupname,categoryname,classname,feature_easting,feature_northing,pos_accuracy,uprn,topo_toid,topo_toid_version,usrn,usrn_mi,distance,address_detail,street_name,locality,geographic_county,postcode,admin_boundary,telephone_number,url,brand,qualifier_type,qualifier_data,provenance,supply_date
Manufacturing,1813,Pre-press and Pre-media Services,12220,126962439,The Comic Art Website,2080128,Commercial Services,"It, Advertising, Marketing and Media Services","Plate Makers, Print Finishers and Type Setters",525391,182153,1,1.00E+11,osgb1000004197429,3,8401403,1,19.7,28,Marylands Road,London,Greater London,W9 2DX,City of Westminster London Boro,7980844906,www.thecomicartwebsite.com,,,,118 Information,2024/6/1
Manufacturing,1813,Pre-press and Pre-media Services,14179,146517275,Print Worx,2080128,Commercial Services,"It, Advertising, Marketing and Media Services","Plate Makers, Print Finishers and Type Setters",529783,181110,1,10092037879,osgb1000042220956,2,8401382,1,14.2,49,Greek Street,London,Greater London,W1D 4EG,City of Westminster London Boro,2036511800,www.printworx.co.uk/locations/printing-in-soho,,,,118 Information,2024/6/1
Manufacturing,1813,Pre-press and Pre-media Services,12660,129828225,Tom Byfield Films,2080122,Commercial Services,"It, Advertising, Marketing and Media Services",Film and Video Services,526454,182049,1,1.00E+11,osgb1000004332569,3,8400116,1,19.8,15,Maida Avenue,London,Greater London,W2 1SR,City of Westminster London Boro,7888821867,www.tombyfield.com,,,,118 Information,2024/6/1
Manufacturing,1820,Reproduction of Recorded Media,4736,54646208,Bridgeman Images Ltd,2080122,Commercial Services,"It, Advertising, Marketing and Media Services",Film and Video Services,525530,181122,1,1.00E+11,osgb1000042155849,5,8401341,1,31.8,17-19,Garway Road,London,Greater London,W2 4PH,City of Westminster London Boro,2077274065,www.bridgemanimages.com,,,,118 Information,2024/6/1
Manufacturing,1820,Reproduction of Recorded Media,5508,64296351,Jumbuck,2080122,Commercial Services,"It, Advertising, Marketing and Media Services",Film and Video Services,529241,181391,1,1.00E+11,osgb1000005428595,3,8401169,1,18.3,31,Eastcastle Street,London,Greater London,W1W 8DL,City of Westminster London Boro,2072877550,www.jumbuck.co.uk,,,,118 Information,2024/6/1
Manufacturing,1820,Reproduction of Recorded Media,6392,68799966,Clips & Footage,2080122,Commercial Services,"It, Advertising, Marketing and Media Services",Film and Video Services,529705,179070,1,1.00E+11,osgb1000042217073,6,8401767,1,16.9,124-126,Horseferry Road,London,Greater London,SW1P 2TX,City of Westminster London Boro,2073066928,www.clipsandfootage.com,,,,118 Information,2024/6/1
Manufacturing,1820,Reproduction of Recorded Media,6475,80827973,Digits in Motion,2080122,Commercial Services,"It, Advertising, Marketing and Media Services",Film and Video Services,529486.4,180577,1,,osgb5000005114739161,1,8400515,2,11.7,180,Piccadilly,London,Greater London,W1J 9HF,City of Westminster London Boro,2070609899,,,,,118 Information,2024/6/1
Manufacturing,1820,Reproduction of Recorded Media,15629,161937597,Snappin View,2080122,Commercial Services,"It, Advertising, Marketing and Media Services",Film and Video Services,527966,181067,1,1.00E+11,osgb1000042197546,12,8400903,1,35.8,23,Bryanston Street,London,Greater London,W1H 5PW,City of Westminster London Boro,8455484330,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,4284,54546560,Kibo International,7420599,Manufacturing and Production,Industrial Products,Published Goods,529469.1,181228,1,1.00E+11,osgb1000005428723,2,8401467,3,11.1,183-185,Wardour Street,London,Greater London,W1F 8ZA,City of Westminster London Boro,2074340422,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,4794,54671894,White Page,7420599,Manufacturing and Production,Industrial Products,Published Goods,529375,180750,1,10033553912,osgb1000042219588,5,8400181,1,11.4,10月11日,Lower John Street,London,Greater London,W1F 9EB,City of Westminster London Boro,2074080268,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,5599,64368237,Artech House Books,7420599,Manufacturing and Production,Industrial Products,Published Goods,528946,178302,1,1.00E+11,osgb1000005285975,4,8401591,1,26.4,16,Sussex Street,London,Greater London,SW1V 4RW,City of Westminster London Boro,2075968750,www.artechhouse.com,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,5610,64349935,The M I T Press,7420599,Manufacturing and Production,Industrial Products,Published Goods,528909,181706,1,10092006580,osgb1000005293148,4,8400077,1,21.4,1,Duchess Street,London,Greater London,W1W 6AN,City of Westminster London Boro,2073060603,www.mitpress.mit.edu,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,5616,64367021,Hay House,7420599,Manufacturing and Production,Industrial Products,Published Goods,528057,181615,1,10033595183,osgb1000005293254,3,8401123,1,20.1,Sixth Floor Watson House 54-60,Baker Street,London,Greater London,W1U 7BU,City of Westminster London Boro,2036752450,www.hayhouse.co.uk,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,5621,64365320,Horizon House Publications Ltd,7420599,Manufacturing and Production,Industrial Products,Published Goods,528946,178302,1,1.00E+11,osgb1000005285975,4,8401591,1,26.4,16,Sussex Street,London,Greater London,SW1V 4RW,City of Westminster London Boro,2075968700,www.horizonhouse.com,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,5631,64345016,River Publishing,7420599,Manufacturing and Production,Industrial Products,Published Goods,527665,181025,1,10091947463,osgb1000042197619,5,8401291,1,17.6,Bain House 16,Connaught Place,London,Greater London,W2 2ES,City of Westminster London Boro,2074207000,www.therivergroup.co.uk,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,5641,64366916,Thomas Telford Services Ltd,7420599,Manufacturing and Production,Industrial Products,Published Goods,529979,179678,1,1.00E+11,osgb1000042216493,7,8401372,1,11.2,1,Great George Street,London,Greater London,SW1P 3AA,City of Westminster London Boro,2076652020,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,5660,64362436,Tate Enterprises,7420599,Manufacturing and Production,Industrial Products,Published Goods,530117,178543,1,10033538284,osgb1000005571564,15,8401419,2,56.7,"The Lodge, Millbank",Westminster,London,Greater London,SW1P 4RG,City of Westminster London Boro,2078878869,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,5683,64364089,Archetype Publications,7420599,Manufacturing and Production,Industrial Products,Published Goods,529895,179687,1,10033530502,osgb1000042216418,4,8401270,1,9.1,1,Birdcage Walk,London,Greater London,SW1H 9JJ,City of Westminster London Boro,2073800800,www.archetype.co.uk,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,5779,68712279,Welbeck Publishing Group,7420599,Manufacturing and Production,Industrial Products,Published Goods,529214,181573,1,2.00E+11,osgb1000005427165,4,8401448,1,22.1,20-22,Mortimer Street,London,Greater London,W1T 3JW,City of Westminster London Boro,2076120400,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,6705,78352383,Pluto Press,7420599,Manufacturing and Production,Industrial Products,Published Goods,530697.3,180750.7,1,10033625011,osgb1000005573361,5,8401576,1,110.2,New Wing Somerset House,Strand,London,Greater London,WC2R 1LA,City of Westminster London Boro,2083482724,www.plutobooks.com,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,7245,80844491,Rough Guides,7420599,Manufacturing and Production,Industrial Products,Published Goods,530475.9,180636.2,1,1.00E+11,osgb1000005574104,11,8400235,3,26.5,3,Savoy Place,London,Greater London,WC2R 0BN,City of Westminster London Boro,2070103000,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,7488,85593259,Penguin Group,7420599,Manufacturing and Production,Industrial Products,Published Goods,530426,180683.8,1,1.00E+11,osgb1000005574117,5,8401576,1,16.8,80,Strand,London,Greater London,WC2R 0RE,City of Westminster London Boro,2070103000,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,7568,85583787,Penguin Random House,7420599,Manufacturing and Production,Industrial Products,Published Goods,529808.2,178429.3,1,10033544912,osgb1000005419593,3,8401243,1,14.8,Random House 20,Vauxhall Bridge Road,London,Greater London,SW1V 2SA,City of Westminster London Boro,2078408400,www.penguinrandomhouse.co.uk,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,8269,96521796,Spiramus Press Ltd,7420599,Manufacturing and Production,Industrial Products,Published Goods,527947,181507,1,1.00E+11,osgb1000042196224,2,8401272,1,16.6,102,Blandford Street,London,Greater London,W1U 8AG,City of Westminster London Boro,2072240080,www.spiramus.com,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,8434,95730594,Akira Press,7420599,Manufacturing and Production,Industrial Products,Published Goods,529572,179164,1,,osgb1000042216667,6,8402004,3,26.7,"Concession, Premier House, 10",Greycoat Place,London,Greater London,SW1P 1SB,City of Westminster London Boro,8704601037,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,9330,104054585,Pearson Assessment,7420599,Manufacturing and Production,Industrial Products,Published Goods,530421,180689,1,1.00E+11,osgb1000005574117,5,8401576,2,9.7,80 Strand,Westminster,London,Greater London,WC2R 0RL,City of Westminster London Boro,3456308888,www.pearsonclinical.co.uk,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,9615,108278223,Trolley Books & T J Boulting Art Gallery,7420599,Manufacturing and Production,Industrial Products,Published Goods,529190,181683,1,1.00E+11,osgb1000005426851,3,8401025,1,14.5,York House 59,Riding House Street,London,Greater London,W1W 7EG,City of Westminster London Boro,2077296591,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,9878,105218734,Andersen Press Ltd,7420599,Manufacturing and Production,Industrial Products,Published Goods,529808.2,178429.3,1,10033544912,osgb1000005419593,3,8401243,1,14.8,Random House 20,Vauxhall Bridge Road,London,Greater London,SW1V 2SA,City of Westminster London Boro,2078408701,www.andersenpress.co.uk,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,11280,123148390,Internal Eclipse Ltd,7420599,Manufacturing and Production,Industrial Products,Published Goods,526566,181136,1,1.00E+11,osgb1000042175047,3,8400790,1,14.6,Flat 3 Chilworth House,Chilworth Mews,London,Greater London,W2 3RG,City of Westminster London Boro,7845493312,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,12016,125864038,Bebegigi,7420599,Manufacturing and Production,Industrial Products,Published Goods,525233,181154,1,1.00E+11,osgb1000004193850,2,8401664,1,15.8,27,Artesian Road,London,Greater London,W2 5DA,City of Westminster London Boro,2072436489,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,12845,129830167,Stacey Publishing Ltd,7420599,Manufacturing and Production,Industrial Products,Published Goods,529125,179449,1,10033531616,osgb1000042217529,4,8400311,1,24.8,19-21,Catherine Place,London,Greater London,SW1E 6DX,City of Westminster London Boro,2072217166,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,16600,165514909,Mayabaum Verlag,7420599,Manufacturing and Production,Industrial Products,Published Goods,529565,179264,1,1.00E+11,osgb1000042216682,5,8400269,2,14.7,"Suite 125, 77 Victoria Street",Westminster,London,Greater London,SW1H 0HW,City of Westminster London Boro,7985670755,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,16929,168654332,Ridinghouse,7420599,Manufacturing and Production,Industrial Products,Published Goods,529430,181003,1,1.00E+11,osgb1000005429209,5,8400448,1,10.2,46,Lexington Street,London,Greater London,W1F 0LP,City of Westminster London Boro,2077349008,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,17947,179361991,Marble Hill Publishers,7420599,Manufacturing and Production,Industrial Products,Published Goods,527519,181600,1,1.00E+11,osgb1000042196988,9,8400808,1,11.9,Flat 58 Macready House 75,Crawford Street,London,Greater London,W1H 5LP,City of Westminster London Boro,7771767814,www.marblehillpublishers.co.uk,,,,118 Information,2024/6/1
Information and Communication,5813,Publishing of Newspapers,4611,54703895,letsrecycle.com,7420599,Manufacturing and Production,Industrial Products,Published Goods,530204,178669,1,,osgb1000005571626,3,8401419,2,27.5,"Suite 1.15 Millbank Tower, 21-24 Millbank",Westminster,London,Greater London,SW1P 4QP,City of Westminster London Boro,2076334500,www.letsrecycle.com,,,,118 Information,2024/6/1
