SIC_Section,SIC_Codes,id,name,pointx_class,classname,postcode,M,IC,PST,AER,lon,lat
Manufacturing,1813,12220,The Comic Art Website,2080128,"Plate Makers, Print Finishers and Type Setters",W9 2DX,1,0,0,0,-0.193959117,51.52438018
Manufacturing,1813,14179,Print Worx,2080128,"Plate Makers, Print Finishers and Type Setters",W1D 4EG,1,0,0,0,-0.131070518,51.51401585
Manufacturing,1813,12660,Tom Byfield Films,2080122,Film and Video Services,W2 1SR,1,0,0,0,-0.178682212,51.52320876
Manufacturing,1820,4736,Bridgeman Images Ltd,2080122,Film and Video Services,W2 4PH,1,0,0,0,-0.192323501,51.51508378
Manufacturing,1820,5508,Jumbuck,2080122,Film and Video Services,W1W 8DL,1,0,0,0,-0.138773985,51.51666524
Manufacturing,1820,6392,Clips & Footage,2080122,Film and Video Services,SW1P 2TX,1,0,0,0,-0.132943457,51.49570093
Manufacturing,1820,6475,Digits in Motion,2080122,Film and Video Services,W1J 9HF,1,0,0,0,-0.135538003,51.50929394
Manufacturing,1820,15629,Snappin View,2080122,Film and Video Services,W1H 5PW,1,0,0,0,-0.157256501,51.51404351
Information and Communication,5811,4284,Kibo International,7420599,Published Goods,W1F 8ZA,0,1,0,0,-0.135548299,51.51514823
Information and Communication,5811,4794,White Page,7420599,Published Goods,W1F 9EB,0,1,0,0,-0.137078907,51.51087413
Information and Communication,5811,5599,Artech House Books,7420599,Published Goods,SW1V 4RW,0,1,0,0,-0.144151261,51.48897256
Information and Communication,5811,5610,The M I T Press,7420599,Published Goods,W1W 6AN,0,1,0,0,-0.143440947,51.51957184
Information and Communication,5811,5616,Hay House,7420599,Published Goods,W1U 7BU,0,1,0,0,-0.155746905,51.51894766
Information and Communication,5811,5621,Horizon House Publications Ltd,7420599,Published Goods,SW1V 4RW,0,1,0,0,-0.144151261,51.48897256
Information and Communication,5811,5631,River Publishing,7420599,Published Goods,W2 2ES,0,1,0,0,-0.161607047,51.51373409
Information and Communication,5811,5641,Thomas Telford Services Ltd,7420599,Published Goods,SW1P 3AA,0,1,0,0,-0.128774874,51.50110195
Information and Communication,5811,5660,Tate Enterprises,7420599,Published Goods,SW1P 4RG,0,1,0,0,-0.127205959,51.49087037
Information and Communication,5811,5683,Archetype Publications,7420599,Published Goods,SW1H 9JJ,0,1,0,0,-0.129981064,51.50120212
Information and Communication,5811,5779,Welbeck Publishing Group,7420599,Published Goods,W1T 3JW,0,1,0,0,-0.139096224,51.51830699
Information and Communication,5811,6705,Pluto Press,7420599,Published Goods,WC2R 1LA,0,1,0,0,-0.1180351,51.5105764
Information and Communication,5811,7245,Rough Guides,7420599,Published Goods,WC2R 0BN,0,1,0,0,-0.121265975,51.50959855
Information and Communication,5811,7488,Penguin Group,7420599,Published Goods,WC2R 0RE,0,1,0,0,-0.121967016,51.51003782
Information and Communication,5811,7568,Penguin Random House,7420599,Published Goods,SW1V 2SA,0,1,0,0,-0.131693095,51.48991949
Information and Communication,5811,8269,Spiramus Press Ltd,7420599,Published Goods,W1U 8AG,0,1,0,0,-0.157370591,51.51800199
Information and Communication,5811,8434,Akira Press,7420599,Published Goods,SW1P 1SB,0,1,0,0,-0.134823796,51.49657615
Information and Communication,5811,9330,Pearson Assessment,7420599,Published Goods,WC2R 0RL,0,1,0,0,-0.122037102,51.5100857
Information and Communication,5811,9615,Trolley Books & T J Boulting Art Gallery,7420599,Published Goods,W1W 7EG,0,1,0,0,-0.139401642,51.51930101
Information and Communication,5811,9878,Andersen Press Ltd,7420599,Published Goods,SW1V 2SA,0,1,0,0,-0.131693095,51.48991949
Information and Communication,5811,11280,Internal Eclipse Ltd,7420599,Published Goods,W2 3RG,0,1,0,0,-0.177396309,51.51497867
Information and Communication,5811,12016,Bebegigi,7420599,Published Goods,W2 5DA,0,1,0,0,-0.19659006,51.51543722
Information and Communication,5811,12845,Stacey Publishing Ltd,7420599,Published Goods,SW1E 6DX,0,1,0,0,-0.141155268,51.49923954
Information and Communication,5811,16600,Mayabaum Verlag,7420599,Published Goods,SW1H 0HW,0,1,0,0,-0.134887893,51.49747642
Information and Communication,5811,16929,Ridinghouse,7420599,Published Goods,W1F 0LP,0,1,0,0,-0.136194004,51.51313518
Information and Communication,5811,17947,Marble Hill Publishers,7420599,Published Goods,W1H 5LP,0,1,0,0,-0.163502062,51.51893445
Information and Communication,5813,4611,letsrecycle.com,7420599,Published Goods,SW1P 4QP,0,1,0,0,-0.125907108,51.49198268
Information and Communication,5813,6380,Director Publications Ltd,7420599,Published Goods,SW1Y 5ED,0,1,0,0,-0.131623623,51.50719035
Information and Communication,5813,7803,The Telegraph,7420599,Published Goods,SW1V 1JT,0,1,0,0,-0.145822768,51.49485134
Information and Communication,5813,12125,Independent News Ltd,7420599,Published Goods,W1S 1SJ,0,1,0,0,-0.146732057,51.51412947
